Item Number,Condition
1821,U
2153,U
2504,U
3065,U
3830,U
3833,U
3862,U
4182,U
4191,U
4432,U
4433,U
4439,U
4441,U
4487,U
4950,U
4980,U
5766,U
5972,U
5982,U
6037,U
6150,U
6155,U
6336,U
6342,U
6517,U
6525,U
6551,U
6586,U
6595,U
6615,U
6663,U
6712,U
6813,U
6829,U
6834,U
6835,U
6852,U
6856,U
6862,U
6864,U
6867,U
6879,U
6957,U
6973,U
7130,U
7139,U
7152,U
7196,U
7313,U
7317,U
7325,U
7498,U
7572,U
7593,U
7620,U
7626,U
7669,U
7726,U
7741,U
7942,U
7948,U
7949,U
8060,U
8087,U
8129,U
8189,U
8193,U
8240,U
8429,U
8512,U
8810,U
9442,U
9462,U
9463,U
9466,U
10666,U
10667,U
21113,U
21116,U
21126,U
31056,U
42021,U
42032,U
60019,U
60022,U
60060,U
60085,U
70100,U
70101,U
70130,U
70145,U
70163,U
70222,U
70735,U
70743,U
70814,U
71702,U
75015,U
75079,U
75082,U
75088,U
76011,U
76013,U